Temple,Status,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,County,State,Postal Code,Country,Phone,
Managua Nicaragua Temple,Under Construction,12.09094774,-86.234252,"12°5'27""N","86°14'3""W",Highway to Masaya,Managua,,,,Nicaragua,,
Manaus Brazil Temple,Dedicated,-3.073907,-60.089331,"3°4'26""S","60°5'21""W",Avenida Coronel Texeira #3162 Ponta Negra,Manaus,,Amazonas,69037-000,Brazil,(+55) 92-3212-7270,
Manhattan New York Temple,Dedicated,40.773112,-73.981622,"40°46'23""N","73°58'53""W",125 Columbus Ave Fourth Floor,New York,New York,New York,10023-6514,United States,(+1) 917-441-8220,
Manila Philippines Temple,Dedicated,14.601356,121.069818,"14°36'4""N","121°4'11""E",13 Temple Drive corner Whiteplains Avenue Greenmeadows Subdivision UGONG NORTE,Quezon City,,Metro Manila,1110,Philippines,(+63) 2-8635-9111,
Manti Utah Temple,Dedicated,39.272906,-111.63376,"39°16'22""N","111°38'1""W",200 E 510 N,Manti,Sanpete,Utah,84642-1701,United States,(+1) 435-835-2291,
McAllen Texas Temple,Dedicated,26.268118,-98.211125,"26°16'5""N","98°12'40""W",300 W Trenton Road,McAllen,Hidalgo,Texas,78504,United States,(+1) 956-467-0795,
McKinney Texas Temple,Announced,33.13031793,-96.6310637,"33°7'49""N","96°37'51""W",East Stacy Road,Fairview,,Texas,,United States,,
Medford Oregon Temple,Dedicated,42.373324,-122.932746,"42°22'23""N","122°55'57""W",3900 Grant Rd,Central Point,Jackson,Oregon,97502-3911,United States,(+1) 541-664-2050,
Melbourne Australia Temple,Dedicated,-37.868774,145.212622,"37°52'7""S","145°12'45""E",REAR 76 Cathies Ln,Wantirna South,,Victoria,3152,Australia,(+61) 3-9881-9700,
Memphis Tennessee Temple,Dedicated,35.240752,-89.839334,"35°14'26""N","89°50'21""W",4199 Kirby-Whitten Pkwy,Bartlett,Shelby,Tennessee,38135-9245,United States,(+1) 901-379-0202,
Mendoza Argentina Temple,Under Construction,-32.863757,-68.881592,"32°51'49""S","68°52'53""W",Avenida Champagnat,Las Heras,,Mendoza,,Argentina,,
Mérida Mexico Temple,Dedicated,20.965784,-89.631061,"20°57'56""N","89°37'51""W",Calle 70 #527 Esq 65 y 67 Colonia Centro,Mérida,,Yucatan,97000,Mexico,(+52) 999-928-1643,
Meridian Idaho Temple,Dedicated,43.671022,-116.415115,"43°40'15""N","116°24'54""W",7355 N Linder Rd,Meridian,Ada,Idaho,83646,United States,(+1) 208-957-7300,
Mesa Arizona Temple,Dedicated,33.412876,-111.819571,"33°24'46""N","111°49'10""W",101 S LeSueur,Mesa,Maricopa,Arizona,85204-1031,United States,(+1) 480-833-1211,
Mexico City Benemérito Mexico Temple,Announced,19.5348353,-99.150919,"19°32'5""N","99°9'3""W",Tenayuca-Chalmita 828 Colonia Zona Escolar Gustavo A. Madero,Mexico City,,,7230,Mexico,,
Mexico City Mexico Temple,Dedicated,19.465905,-99.086754,"19°27'57""N","99°5'12""W",Avenida 510 N°90 Col. San Juan de Aragon,México,,Distrito Federal,7950,Mexico,(+52) 55-5003-3700,
Miraflores Guatemala City Guatemala Temple,Under Construction,14.60722327,-90.544983,"14°36'26""N","90°32'41""W",13 Calle 5-56 Zona 11,Guatemala City,,,,Guatemala,,
Modesto California Temple,Under Construction,37.70279243,-121.04679,"37°42'10""N","121°2'48""W",Adjacent to 4300 Dale Road,Modesto,Stanislaus,California,,United States,,
Monterrey Mexico Temple,Dedicated,25.589364,-100.259975,"25°35'21""N","100°15'35""W",Carretera Nacional #7860 Esq. Privada Valle de la Estanzuela Colonia Valle Alto,Monterrey,,Nuevo Leon,64989,Mexico,(+52) 81-8104-0635,
Montevideo Uruguay Temple,Dedicated,-34.888444,-56.074088,"34°53'18""S","56°4'26""W",Bolonia 1722 Carrasco,Montevideo,,,11500,Uruguay,(+598) 2604-7300,
Monticello Utah Temple,Dedicated,37.877917,-109.347066,"37°52'40""N","109°20'49""W",365 N 200 W,Monticello,San Juan,Utah,84535,United States,(+1) 435-587-3500,
Montpelier Idaho Temple,Under Construction,42.31796632,-111.301722,"42°19'4""N","111°18'6""W",534 Washington Street,Montpelier,Bear Lake,Idaho,,United States,,
Montreal Quebec Temple,Dedicated,45.563335,-73.490616,"45°33'48""N","73°29'26""W",1450 Blvd Marie-Victorin,Longueuil,,Quebec,J4G 1A4,Canada,(+1) 450-646-5775,
Moses Lake Washington Temple,Dedicated,47.103441,-119.272362,"47°6'12""N","119°16'20""W",401 Yonezawa Blvd,Moses Lake,Grant,Washington,98837,United States,(+1) 509-350-8120,
Mount Timpanogos Utah Temple,Dedicated,40.393166,-111.770509,"40°23'35""N","111°46'13""W",742 N 900 E,American Fork,Utah,Utah,84003-9124,United States,(+1) 801-763-4540,
Nairobi Kenya Temple,Under Construction,-1.26529552,36.739816,"1°15'55""S","36°44'23""E",Mountain View,Nairobi,,,,Kenya,,
Nashville Tennessee Temple,Dedicated,35.948839,-86.860329,"35°56'55""N","86°51'37""W",344 Ernest Rice Ln,Franklin,Williamson,Tennessee,37069,United States,(+1) 615-791-8668,
Natal Brazil Temple,Announced,-5.87785295,-35.222713,"5°52'40""S","35°13'21""W",Av. Senador Salgado Filho (BR-101) Nova Parnamirim,Parnamirim,,Rio Grande do Norte,,Brazil,,
Nauvoo Illinois Temple,Dedicated,40.55048,-91.384378,"40°33'1""N","91°23'3""W",50 N Wells St,Nauvoo,Hancock,Illinois,62354,United States,(+1) 217-453-6252,
Neiafu Tonga Temple,Under Construction,-18.64422855,-173.9776,"18°38'39""S","173°58'39""W",Tu?I Road,Neiafu,,Vava'u,,Tonga,,
Newport Beach California Temple,Dedicated,33.629627,-117.848766,"33°37'46""N","117°50'55""W",2300 Bonita Canyon Dr,Newport Beach,Orange,California,92660-9118,United States,(+1) 949-644-1820,
Nuku'alofa Tonga Temple,Dedicated,-21.162561,-175.27232,"21°9'45""S","175°16'20""W",Halaloto Road - Liahona,Tongatapu,,,,Tonga,(+676) 20-300,
Oakland California Temple,Dedicated,37.808027,-122.19912,"37°48'28""N","122°11'56""W",4770 Lincoln Ave,Oakland,Alameda,California,94602-2535,United States,(+1) 510-531-3200,
Oaxaca Mexico Temple,Dedicated,17.041554,-96.713503,"17°2'29""N","96°42'48""W",Avenida Universidad #139 Fracc. Real de Candiani,Oaxaca,,Oaxaca,68130,Mexico,(+52) 951-516-9588,
Ogden Utah Temple,Dedicated,41.227786,-111.971506,"41°13'40""N","111°58'17""W",350 22nd St,Ogden,Weber,Utah,84401-1487,United States,(+1) 801-621-6880,
Okinawa Japan Temple,Dedicated,26.358285,127.801718,"26°21'29""N","127°48'6""E",7-11-32 Matsumoto,Okinawa-shi,,Okinawa-ken, Okinawa,904-2151,Japan,(+81) 98-993-9870
Oklahoma City Oklahoma Temple,Dedicated,35.591846,-97.7267,"35°35'30""N","97°43'36""W",12030 N Mustang Rd,Yukon,Canadian,Oklahoma,73099-9801,United States,(+1) 405-373-2309,
Oquirrh Mountain Utah Temple,Dedicated,40.551145,-111.98751,"40°33'4""N","111°59'15""W",11022 S 4000 W,South Jordan,Salt Lake,Utah,84009-5797,United States,(+1) 801-878-3800,
Orem Utah Temple,Dedicated,40.270755,-111.720916,"40°16'14""N","111°43'15""W",1451 S 1100 W,Orem,Utah,Utah,84058,United States,(+1) 801-762-6720,
Orlando Florida Temple,Dedicated,28.507348,-81.509578,"28°30'26""N","81°30'34""W",9000 Windy Ridge Rd,Windermere,Orange,Florida,34786-8347,United States,(+1) 407-876-0022,
Osaka Japan Temple,Announced,34.81677777,135.715121,"34°49'0""N","135°42'54""E",3-50-1 Sugi,Hirakata City,,Osaka,573-0117,Japan,,
Oslo Norway Temple,Announced,59.85795039,10.48033456,"59°51'28""N","10°28'49""E",Smedsvingen and Ravnsborgveien,Hvalstad,,,,Norway,,
Pachuca Mexico Temple,Announced,20.10227408,-98.762569,"20°6'8""N","98°45'45""W",,Pachuca,,Hidalgo,,Mexico,,
Pago Pago American Samoa Temple,Under Construction,-14.333959,-170.73199,"14°20'2""S","170°43'55""W",Ottoville Road,Tafuna,,Western District,96799,American Samoa,,
Palmyra New York Temple,Dedicated,43.039148,-77.237063,"43°2'20""N","77°14'13""W",2720 Temple Rd,Palmyra,Wayne,New York,14522-9573,United States,(+1) 315-597-6001,
Panama City Panama Temple,Dedicated,8.99146,-79.57048,"8°59'29""N","79°34'13""W",Calle Rufina Alfaro #3172 Hacia La Villa de Cardenas Corozal,Ancon,,Provincia de Panamá,,Panama,(+507) 201-6233,
Papeete Tahiti Temple,Dedicated,-17.536618,-149.556019,"17°32'11""S","149°33'21""W",Route de la Fautaua-Titioro,Commune de Papeete,,Tahiti,98713,French Polynesia,(+689) 40-50-3939,
Paris France Temple,Dedicated,48.817892,2.123171,"48°49'4""N","2°7'23""E",46 Boulevard Saint Antoine,Le Chesnay,,,78150,France,(+33) 970-73-70-00,
Payson Utah Temple,Dedicated,40.019258,-111.749175,"40°1'9""N","111°44'57""W",1494 S 930 W,Payson,Utah,Utah,84651,United States,(+1) 801-754-4949,
Perth Australia Temple,Dedicated,-31.906905,115.869834,"31°54'24""S","115°52'11""E",163-173 Wordsworth Avenue,Yokine,,Western Australia,6060,Australia,(+61) 8-9276-0000,
Philadelphia Pennsylvania Temple,Dedicated,39.959174,-75.168072,"39°57'33""N","75°10'5""W",1739 Vine St,Philadelphia,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040,
Phnom Penh Cambodia Temple,Under Construction,11.569891,104.895707,"11°34'11""N","104°53'44""E",Russian Confederation Street,Phnom Penh,,,,Cambodia,,
Phoenix Arizona Temple,Dedicated,33.698555,-112.172329,"33°41'54""N","112°10'20""W",5220 W Pinnacle Peak Rd,Phoenix,Maricopa,Arizona,85310,United States,(+1) 623-474-9500,
Pittsburgh Pennsylvania Temple,Under Construction,40.69404827,-80.140918,"40°41'38""N","80°8'27""W",2093 Powell Road,Cranberry Township,Butler,Pennsylvania,16066,United States,,
Pocatello Idaho Temple,Dedicated,42.915259,-112.406374,"42°54'54""N","112°24'22""W",3100 Butte St,Pocatello,Bannock,Idaho,83201,United States,(+1) 208-646-7730,
Port Moresby Papua New Guinea Temple,Under Construction,-9.477474,147.176546,"9°28'38""S","147°10'35""E",Muniogo Crescent Badili,Port Moresby,,,,Papua New Guinea,,
Port Vila Vanuatu Temple,Under Construction,-17.70379129,168.30421,"17°42'13""S","168°18'15""E",Blacksands,Port Vila,,,,Vanuatu,,
Port-au-Prince Haiti Temple,Dedicated,18.529017,-72.268143,"18°31'44""N","72°16'5""W",Route de Frères Frères 23 Impasse Saint-Marc # 20 & 22,Petion-Ville,,,HT,Haiti,(+509) 2262-5810,
Portland Oregon Temple,Dedicated,45.425345,-122.742224,"45°25'31""N","122°44'32""W",13600 Kruse Oaks Blvd,Lake Oswego,Clackamas,Oregon,97035-8602,United States,(+1) 503-639-7066,
Porto Alegre Brazil Temple,Dedicated,-30.034047,-51.157868,"30°2'2""S","51°9'28""W",Rua General Salvador Pinheiro 50 Vila Jardim,Porto Alegre,,Rio Grande do Sul,91320-240,Brazil,(+55) 51-2104-2700,
Praia Cape Verde Temple,Dedicated,14.918789,-23.511157,"14°55'7""N","23°30'40""W",Templo da Igreja de Jesus Cristo Dos Santos Dos Últimos Dias Avenida Cidade de Lisboa Bairro Taiti,Praia,,Santiago,7600,Cape Verde,(+238) 953-6711,
Preston England Temple,Dedicated,53.672476,-2.631275,"53°40'20""N","2°37'52""W",Temple Way Hartwood Green Chorley,Lancashire,,England, PR6 7EQ,United Kingdom,(+44) 1257-226-100,
Provo City Center Temple,Dedicated,40.232667,-111.659299,"40°13'57""N","111°39'33""W",50 South University Ave,Provo,Utah,Utah,84601,United States,(+1) 801-343-2700,
Provo Utah Rock Canyon Temple,Dedicated,40.26347161,-111.6405,"40°15'48""N","111°38'25""W",,Provo,Utah,Utah,84604-1775,United States,,
Puebla Mexico Temple,Dedicated,19.085418,-98.235514,"19°5'7""N","98°14'7""W",Av. 15 de Mayo # 719 Col. Los  Cipreses,Puebla,,Puebla,72114,Mexico,(+52) 222-686-8720,
Querétaro Mexico Temple,Under Construction,20.61335562,-100.410611,"20°36'48""N","100°24'38""W",Prolongación Tecnológico Norte 150 Colonia San Pablo,Querétaro,,Querétaro,76130,Mexico,,
Quetzaltenango Guatemala Temple,Dedicated,14.846493,-91.542517,"14°50'47""N","91°32'33""W",9A Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1,Quetzaltenango,,,9001,Guatemala,(+502) 7728-1603,
Quito Ecuador Temple,Dedicated,-0.213711,-78.441018,"-0°12'49""N","78°26'27""W",Ruta Viva y Escalón Lumbisí Esq.,Cumbayá,,Quito,170157,Ecuador,(+593) 2380 2960,
Raleigh North Carolina Temple,Dedicated,35.732111,-78.861542,"35°43'55""N","78°51'41""W",574 Bryan Dr,Apex,Wake,North Carolina,27502-4127,United States,(+1) 919-362-4135,
Recife Brazil Temple,Dedicated,-8.03639,-34.911123,"8°2'11""S","34°54'40""W",Rua Dr. José de Góes 280 Parnamirim,Recife,,Pernambuco,52060-380,Brazil,(+55) 81-2129-4300,
Red Cliffs Utah Temple,Dedicated,37.082184,-113.519741,"37°4'55""N","113°31'11""W",1555 S Red Cliffs Temple Ln,St. George,Washington,Utah,84790,United States,(+1) 435-599-7350,
Redlands California Temple,Dedicated,34.049037,-117.140579,"34°2'56""N","117°8'26""W",1761 Fifth Ave,Redlands,San Bernardino,California,92374-5503,United States,(+1) 909-389-7369,
Regina Saskatchewan Temple,Dedicated,50.420981,-104.54168,"50°25'15""N","104°32'30""W",111 Wascana Gate North,Regina,,Saskatchewan,S4V 2J6,Canada,(+1) 306-545-8194,
Reno Nevada Temple,Dedicated,39.534611,-119.898913,"39°32'4""N","119°53'56""W",2000 Beaumont Pkwy,Reno,Washoe,Nevada,89523,United States,(+1) 775-747-6688,
Rexburg Idaho Temple,Dedicated,43.810922,-111.778979,"43°48'39""N","111°46'44""W",750 S 2nd E,Rexburg,Madison,Idaho,83440-5404,United States,(+1) 208-656-0880,
Ribeirão Preto Brazil Temple,Under Construction,-21.2160709,-47.80927,"21°12'57""S","47°48'33""W",Avenida Antônio Marçal and R. José Brandani,Ribeirão Preto,,São Paulo,,Brazil,,
Richmond Virginia Temple,Dedicated,37.672884,-77.535372,"37°40'22""N","77°32'7""W",10915 Staples Mill Rd,Glen Allen,Henrico,Virginia,23060,United States,(+1) 804-807-7790,
Rio de Janeiro Brazil Temple,Dedicated,-23.000894,-43.399918,"23°0'3""S","43°23'59""W",Avenida Das Américas Nº 9005,Barra Da Tijuca - Rio De Janeiro,,Rio de Janeiro,22793-083,Brazil,(+55) 21-3906-4600,
Rome Italy Temple,Dedicated,41.970437,12.544764,"41°58'13""N","12°32'41""E",Via di Settebagni 376,Rome,,RM,,Italy,(+39) 06-9480-5050,
Sacramento California Temple,Dedicated,38.635116,-121.193925,"38°38'6""N","121°11'38""W",2110 California Cir,Rancho Cordova,Sacramento,California,95742-6415,United States,(+1) 916-357-5870,
Salt Lake Temple,Dedicated,40.770468,-111.891958,"40°46'13""N","111°53'31""W",50 W North Temple St,Salt Lake City,Salt Lake,Utah,84150-9709,United States,(+1) 801-240-2640,
Salta Argentina Temple,Dedicated,-24.837197,-65.470001,"24°50'13""S","65°28'12""W",Av. Ingeniero Mario Saul Banchik Nº 6050 (ex RN 51 km 4),Salta,,Salta,,Argentina,(+54) 387-432-4300,
Salvador Brazil Temple,Under Construction,-12.929251,-38.386386,"12°55'45""S","38°23'10""W",Av. Luís Viana Filho 18 Patamares,Salvador,,Bahia,41301-110,Brazil,,
San Antonio Texas Temple,Dedicated,29.641481,-98.488789,"29°38'29""N","98°29'19""W",20080 Stone Oak Pkwy,San Antonio,Bexar,Texas,78258-6920,United States,(+1) 210-538-0034,
San Diego California Temple,Dedicated,32.866389,-117.228769,"32°51'59""N","117°13'43""W",7474 Charmant Dr,San Diego,San Diego,California,92122-5000,United States,(+1) 858-622-0991,
San Jose California Temple,Announced,37.35297371,-122.04434,"37°21'10""N","122°2'39""W",771 West Fremont Avenue,Sunnyvale,Santa Clara,California,,United States,,
San José Costa Rica Temple,Dedicated,9.986418,-84.184831,"9°59'11""N","84°11'5""W",Del Hotel Marriott 1.2 km al Oeste La Ribera,Belén,,Heredia,40702,Costa Rica,(+506) 2293-6681,
San Juan Puerto Rico Temple,Dedicated,18.385623,-66.029896,"18°23'8""N","66°1'47""W",Calle Ronda #123 (Urb. Villa Andalucia),San Juan,,PR,926,Puerto Rico,(+1) 787-522-2070,
San Luis Potosí Mexico Temple,Under Construction,22.15320582,-101.01515,"22°9'11""N","101°0'54""W",Arboleda 100 Fraccionamiento del Parque,San Luis Potosí,,San Luis Potosí,78260,Mexico,,
San Pedro Sula Honduras Temple,Under Construction,15.522544,-88.036856,"15°31'21""N","88°2'12""W",Bulevar Mario Catarino Rivas,San Pedro Sula,,Cortés,,Honduras,,
San Salvador El Salvador Temple,Dedicated,13.683347,-89.246822,"13°41'0""N","89°14'48""W",Avenida El Espino y Calle El Pedregal Colonia San Benito,Antiguo Cuscatlán,,La Libertad,CP,El Salvador,(+503) 2520-2631,
Santa Cruz Bolivia Temple,Under Construction,-17.73855162,-63.17467,"17°44'18""S","63°10'28""W",Avenida Quinto Anilla y Santa Rosa,Santa Cruz,,,,Bolivia,,
Santiago Chile Temple,Dedicated,-33.436174,-70.609521,"33°26'10""S","70°36'34""W",Pocuro #1940 Providencia,Santiago,,Region Metropolitana (Santiago),6641404,Chile,(+56) 22-340-5070,
Santiago West Chile Temple,Under Construction,-33.49296743,-70.73638,"33°29'34""S","70°44'10""W",Primo de Rivera 1551 Comuna de Maipu,Santiago,,,,Chile,,
Santo Domingo Dominican Republic Temple,Dedicated,18.466567,-69.917144,"18°27'59""N","69°55'1""W",Avenida Bolivar N° 825 Los Robles,Santo Domingo,,Distrito Nacional,10106,Dominican Republic,(+1) 809-731-2000,
Santos Brazil Temple,Announced,-23.94286335,-46.334198,"23°56'34""S","46°20'3""W",Avenida Doutor Waldemar Leão 305 Jabaquara,Santos,,São Paulo,,Brazil,,
São Paulo Brazil Temple,Dedicated,-23.585174,-46.722764,"23°35'6""S","46°43'21""W",Av. Prof. Francisco Morato 2390 Caxingui,São Paulo,,São Paulo,05512-300,Brazil,(+55) 11-3723-7600,
São Paulo East Brazil Temple,Announced,-23.55518816,-46.54444,"23°33'18""S","46°32'39""W",Avenida Guilherme Giorgi 1091 Vila Carrão,São Paulo,,SP,03422-001,Brazil,,
Sapporo Japan Temple,Dedicated,43.0249,141.4457,"43°1'29""N","141°26'44""E",1-6-1 Oyachi-Nishi Atsubetsu-ku,Sapporo,,Hokkaido,004-0042,Japan,(+81) 11-890-8120,
Saratoga Springs Utah Temple,Dedicated,40.34422619,-111.932607,"40°20'39""N","111°55'57""W",987 South Ensign Drive,Saratoga Springs,Utah,Utah,84045-3839,United States,(+1) 801-341-1860,
Savai'i Samoa Temple,Announced,-13.75189602,-172.2318,"13°45'6""S","172°13'54""W",Lot 1098 to Lot 1105 Fataloa,Salelologa,,Savai'i,,Samoa,,
Seattle Washington Temple,Dedicated,47.58407,-122.140876,"47°35'2""N","122°8'27""W",2808 148th Ave SE,Bellevue,King,Washington,98007-6453,United States,(+1) 425-643-5144,
Seoul Korea Temple,Dedicated,37.558913,126.931286,"37°33'32""N","126°55'52""E",Sinchon-ro 7 GIL 21 Seodaemun-gu,Seoul,,Seoul-teukbyeolsi,3783,South Korea,(+82) 2-330-2700,
Singapore Temple,Announced,1.27995248,103.784842,"1°16'47""N","103°47'5""E",233 Pasir Panjang Road,Singapore,,,,Singapore,,
Smithfield Utah Temple,Under Construction,41.84012916,-111.852673,"41°50'24""N","111°51'9""W",N 800 West and W 100 North,Smithfield,Cache,Utah,,United States,,
Snowflake Arizona Temple,Dedicated,34.502494,-110.111607,"34°30'8""N","110°6'41""W",1875 W Canyon Dr,Snowflake,Navajo,Arizona,85937-6014,United States,(+1) 928-536-6626,
Spokane Washington Temple,Dedicated,47.620163,-117.22069,"47°37'12""N","117°13'14""W",13710 E 40th Ave,Spokane,Spokane,Washington,99206,United States,(+1) 509-926-2824,
Springfield Missouri Temple,Announced,37.10238963,-93.243289,"37°6'8""N","93°14'35""W",2720 East Farm Road #188,Springfield,Greene,Missouri,,United States,,
St. George Utah Temple,Dedicated,37.100535,-113.578041,"37°6'1""N","113°34'40""W",250 E 400 S,St. George,Washington,Utah,84770-3699,United States,(+1) 435-673-3533,
St. Louis Missouri Temple,Dedicated,38.639651,-90.464685,"38°38'22""N","90°27'52""W",12555 N Outer Forty Dr,St. Louis,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122,
St. Paul Minnesota Temple,Dedicated,44.980261,-92.965199,"44°58'48""N","92°57'54""W",2150 Hadley Ave N,Oakdale,Washington,Minnesota,55128-4505,United States,(+1) 651-748-5910,
Star Valley Wyoming Temple,Dedicated,42.712073,-110.932532,"42°42'43""N","110°55'57""W",885 S Washington St,Afton,Lincoln,Wyoming,83110,United States,(+1) 307-886-6820,
Stockholm Sweden Temple,Dedicated,59.124676,18.109177,"59°7'28""N","18°6'33""E",Tempelvägen 5,Västerhaninge,,,SE-13742,Sweden,(+46) 8-5006-5500,
Suva Fiji Temple,Dedicated,-18.119705,178.438559,"18°7'10""S","178°26'18""E",LOT 2-20 Lakeba St,Samabula,,Suva,,Fiji,(+679) 338-8949,
Sydney Australia Temple,Dedicated,-33.775617,151.050592,"33°46'32""S","151°3'2""E",756 Pennant Hills Road Corner Pennant Hills Rd & Moseley St.,Carlingford,,New South Wales,2118,Australia,(+61) 2-9841-5471,
Syracuse Utah Temple,Under Construction,41.09907006,-112.076303,"41°5'56""N","112°4'34""W",1025 South 2500 West,Syracuse,Davis,Utah,84075,United States,,
Tacloban City Philippines Temple,Announced,11.22377084,124.984491,"11°13'25""N","124°59'4""E",Tacloban Bypass Road Brgy. Utap-Caibaan,Tacloban City,,Leyte,,Philippines,,
Taipei Taiwan Temple,Dedicated,25.031377,121.527794,"25°1'52""N","121°31'40""E",256 Ai Kuo East Road,Taipei,,,10642,Taiwan,(+886) 2-2192-4930,
Tallahassee Florida Temple,Under Construction,30.520117,-84.238222,"30°31'12""N","84°14'17""W",2440 Papillon Way,Tallahassee,Leon,Florida,32309,United States,,
Tampa Florida Temple,Announced,27.90897415,-82.349924,"27°54'32""N","82°20'59""W",9445 Camden Fields Parkway,Riverview,Hillsborough,Florida,,United States,,
Tampico Mexico Temple,Dedicated,22.254262,-97.855869,"22°15'15""N","97°51'21""W",Av. Ejercito Mexicano #74 Con 3A Av. Colonia Loma del Gallo,Ciudad Madero,,Tamaulipas,89480,Mexico,(+52) 833-216-9660,
Tarawa Kiribati Temple,Announced,1.34948484,173.040061,"1°20'58""N","173°2'24""E",Ambo,Tarawa,,,,Kiribati,,
Taylorsville Utah Temple,Dedicated,40.66671159,-111.95411,"40°40'0""N","111°57'14""W",2603 W 4700 S,Taylorsville,Salt Lake,Utah,84129,United States,(+1) 385-855-7550,
Tegucigalpa Honduras Temple,Dedicated,14.052174,-87.238019,"14°3'7""N","87°14'16""W",Residencial Roble Oeste Boulevard Roble Oeste 3ra Calle Sur.,Comayagüela, M.D.C.,,Francisco Morazán,,Honduras,(+504) 2264-1212
Teresina Brazil Temple,Announced,-5.08842094,-42.779871,"5°5'18""S","42°46'47""W",Av. Raul Lopes and Rua Des. Pedro Conde Noivos,Teresina,,Piauí,,Brazil,,
Teton River Idaho Temple,Under Construction,43.86071465,-111.7814,"43°51'38""N","111°46'53""W",111 Teton River Temple St,Rexburg,Madison,Idaho,83440,United States,,
The Gila Valley Arizona Temple,Dedicated,32.862971,-109.789974,"32°51'46""N","109°47'23""W",5291 West Highway 70,Central,Graham,Arizona,85531,United States,(+1) 928-428-7243,
The Hague Netherlands Temple,Dedicated,52.054487,4.502979,"52°3'16""N","4°30'10""E",Osylaan 2,Zoetermeer,,,2722 CV,Netherlands,(+31) 79-343-5310,
Tijuana Mexico Temple,Dedicated,32.488713,-116.929441,"32°29'19""N","116°55'45""W",Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana,Tijuana,,Baja California,22226,Mexico,(+52) 664-969-2690,
Tokyo Japan Temple,Dedicated,35.652838,139.724539,"35°39'10""N","139°43'28""E",5-8-10 Minami Azabu Minato-ku,Tokyo,Tokyo,, 106-0047,Japan,(+81) 3-4545-3000,
Toluca Mexico Temple,Announced,19.25230253,-99.626874,"19°15'8""N","99°37'36""W",Calle Guadalupe Victória and Calle Uruapán Colonia Las Jaras,Metepec,,Estado de Mexico,52166,Mexico,,
Toronto Ontario Temple,Dedicated,43.744338,-79.746059,"43°44'39""N","79°44'45""W",10060 Bramalea Rd,Brampton,,Ontario,L6R 1A1,Canada,(+1) 905-799-1122,
Torreón Mexico Temple,Under Construction,25.55331849,-103.499227,"25°33'11""N","103°29'57""W",París 266 El Campestre,Gómez Palacio,,Durango,35080,Mexico,,
Trujillo Peru Temple,Dedicated,-8.100149,-79.058515,"8°6'0""S","79°3'30""W",Av. Mansiche Km 3.5 Carretera hacia Huanchaco Huanchaco,Trujillo,Huanchaco,La Libertad,,Peru,(+51) 44-602-130,
Tucson Arizona Temple,Dedicated,32.338454,-110.949174,"32°20'18""N","110°56'57""W",7281 North Skyline Dr,Tucson,Pima,Arizona,85718,United States,(+1) 520-395-3900,
Tulsa Oklahoma Temple,Announced,36.09186775,-95.826161,"36°5'30""N","95°49'34""W",51st St and 136th E Avenue,Tulsa,Tulsa,Oklahoma,,United States,,
Tuxtla Gutiérrez Mexico Temple,Dedicated,16.764164,-93.159155,"16°45'50""N","93°9'32""W",Carretera a Chicoasén Kilometro 1.4 Esq. Paseo de la Roseta Fraccionamiento San José Chapultepec,Tuxtla Gutiérrez,,Chiapas,29047,Mexico,(+52) 961-615-8287,
Twin Falls Idaho Temple,Dedicated,42.586827,-114.441509,"42°35'12""N","114°26'29""W",1405 Eastland Dr N,Twin Falls,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070,
Urdaneta Philippines Temple,Dedicated,15.938567,120.581762,"15°56'18""N","120°34'54""E",MacArthur Highway Barangay Nancayasan,Urdaneta City,,Pangasinan,2428,Philippines,,
Vancouver British Columbia Temple,Dedicated,49.151212,-122.658009,"49°9'4""N","122°39'28""W",20370 82nd Ave,Langley,,British Columbia,V2Y 2A9,Canada,(+1) 604-513-5933,
Vancouver Washington Temple,Announced,45.60772261,-122.46934,"45°36'27""N","122°28'9""W",SE 20th Street and SE Bybee Road,Camas,Clark,Washington,,United States,,
Veracruz Mexico Temple,Dedicated,19.13441,-96.10626,"19°8'3""N","96°6'22""W",Ave. Ejercito Mexicano Esq. Michoacan Colonia Luis Echeverria,Boca del Rio,,Veracruz,94295,Mexico,(+52) 229-922-9621,
Vernal Utah Temple,Dedicated,40.453205,-109.537413,"40°27'11""N","109°32'14""W",420 W 200 S,Vernal,Uintah,Utah,84078-2536,United States,(+1) 435-789-3220,
Vienna Austria Temple,Announced,48.24312657,16.3493719,"48°14'35""N","16°20'57""E",Silbergasse 2,Vienna,,,,Austria,,
Villahermosa Mexico Temple,Dedicated,17.981276,-92.937375,"17°58'52""N","92°56'14""W",Avenida 27 de Febrero #1717 Colonia Atasta de Serra,Villahermosa,,Tabasco,86100,Mexico,(+52) 993-352-2028,
Viña del Mar Chile Temple,Announced,-33.02085481,-71.5456912,"33°1'15""S","71°32'44""W",Tres Norte 1105,Viña del Mar,,,,Chile,,
Vitória Brazil Temple,Announced,-20.29637999,-40.304767,"20°17'46""S","40°18'17""W",Avenida Leitão da Silva #2055 Iteraré,Vitória,,Espírito Santo,,Brazil,,
